# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
-9.996436834335327148e-01 3.888138235197402537e-05 2.983244508504867554e-02 -1.431479449820471928e-05 5.003868103027343750e+01 3.238654695451259613e-03 -9.648315426602493972e-06 5.427211872301995754e-04 -1.302429518545977771e-05 3.756610749405808747e-05 -1.981111764907836914e-01 -3.354398941155523062e-04 5.538538607652299106e-05 -1.192583596321128425e-07 -1.850662556535098702e-07 -1.192583596321128425e-07 5.715526274485682734e-09 1.147203443352395880e-09 -1.850662556535098702e-07 1.147203443352395880e-09 2.237166336271911860e-05 1.783305034041404724e-02 1.000342066959092335e-07 -7.153998740250244737e-05
-9.995534420013427734e-01 6.062531974748708308e-05 2.947244793176651001e-02 -1.204229192808270454e-05 5.003229141235351562e+01 4.052310716360807419e-03 -1.492783758294535801e-05 6.650107097811996937e-04 -2.006816794164478779e-05 4.325963891460560262e-05 -1.968220621347427368e-01 -4.210232000332325697e-04 8.685089414939284325e-05 -2.366310098977919552e-07 -2.911639001013099914e-07 -2.366310098977919552e-07 1.371971070085464817e-08 2.276494992514699334e-09 -2.911639001013099914e-07 2.276494992514699334e-09 3.438602288952097297e-05 2.234830893576145172e-02 1.546265906426924630e-07 -8.935921505326405168e-05
-9.994632601737976074e-01 8.696398435859009624e-05 2.913977578282356262e-02 -8.221887583204079419e-06 5.002473068237304688e+01 4.862238653004169464e-03 -2.123643753293436021e-05 7.833450217731297016e-04 -2.843501533789094537e-05 4.756149428430944681e-05 -1.955640912055969238e-01 -5.075663211755454540e-04 1.252805377589538693e-04 -4.139859868246276164e-07 -4.214673197111551417e-07 -4.139859868246276164e-07 2.785709796171431663e-08 3.978484652833458313e-09 -4.214673197111551417e-07 3.978484652833458313e-09 4.861958223045803607e-05 2.685993164777755737e-02 2.198938062747402000e-07 -1.070520011126063764e-04
-9.993485212326049805e-01 1.269954227609559894e-04 2.875052019953727722e-02 -1.434364094166085124e-06 5.001292419433593750e+01 5.887454841285943985e-03 -3.068225123570300639e-05 9.291912429034709930e-04 -4.089304638910107315e-05 5.111434074933640659e-05 -1.940041333436965942e-01 -6.193846347741782665e-04 1.842228957684710622e-04 -7.469991487596416846e-07 -6.225028528206166811e-07 -7.469991487596416846e-07 5.841046402110805502e-08 7.155936732061718430e-09 -6.225028528206166811e-07 7.155936732061718430e-09 6.970954564167186618e-05 3.259908035397529602e-02 3.182890679909178289e-07 -1.294007233809679747e-04
-9.992337822914123535e-01 1.741726009640842676e-04 2.839442156255245209e-02 6.761044005543226376e-06 4.999818038940429688e+01 6.906239781528711319e-03 -4.160587195656262338e-05 1.071814913302659988e-03 -5.520780905499123037e-05 5.265218715067021549e-05 -1.924855560064315796e-01 -7.337992428801953793e-04 2.543761220294982195e-04 -1.225423034156847280e-06 -8.634697223897092044e-07 -1.225423034156847280e-06 1.079542286674950446e-07 1.168433438891725018e-08 -8.634697223897092044e-07 1.168433438891725018e-08 9.386114106746390462e-05 3.833675011992454529e-02 4.330007925545942271e-07 -1.515735202701762319e-04
-9.991000890731811523e-01 2.379321376793086529e-04 2.801442891359329224e-02 1.772783980413805693e-05 4.997650527954101562e+01 8.083823136985301971e-03 -5.608321589534170926e-05 1.234970870427787304e-03 -7.406803342746570706e-05 5.204272383707575500e-05 -1.907626241445541382e-01 -8.705984218977391720e-04 3.501650353427976370e-04 -2.002899691433412954e-06 -1.194616970678907819e-06 -2.002899691433412954e-06 1.973861145643240889e-07 1.896328072348296701e-08 -1.194616970678907819e-06 1.896328072348296701e-08 1.255018578376621008e-04 4.501968249678611755e-02 5.873385475752002094e-07 -1.771910319803282619e-04
-9.989664554595947266e-01 3.108949749730527401e-04 2.766521833837032318e-02 2.926971683336887509e-05 4.994921493530273438e+01 9.249704889953136444e-03 -7.226974412333220243e-05 1.397432177327573299e-03 -9.501516615273430943e-05 4.902405271423049271e-05 -1.890834122896194458e-01 -1.011897926218807697e-03 4.609507450368255377e-04 -3.058077027162653394e-06 -1.580340608597907703e-06 -3.058077027162653394e-06 3.299994659755611792e-07 2.871229831669097621e-08 -1.580340608597907703e-06 2.871229831669097621e-08 1.605091965757310390e-04 5.169688165187835693e-02 7.631076073266740423e-07 -2.025725552812218666e-04
-9.988138675689697266e-01 4.051620489917695522e-04 2.729607746005058289e-02 4.271604120731353760e-05 4.991010665893554688e+01 1.056487485766410828e-02 -9.267902350984513760e-05 1.583441509865224361e-03 -1.212595743709243834e-04 4.284262467990629375e-05 -1.872101426124572754e-01 -1.178991398774087429e-03 6.056397105567157269e-04 -4.657897989090997726e-06 -2.087050461341277696e-06 -4.657897989090997726e-06 5.471407575896591879e-07 4.326513192154379794e-08 -2.087050461341277696e-06 4.326513192154379794e-08 2.041372354142367840e-04 5.931540206074714661e-02 9.903692443913314492e-07 -2.312804572284221649e-04
-9.986612200736999512e-01 5.108140758238732815e-04 2.695076912641525269e-02 5.596433766186237335e-05 4.986127853393554688e+01 1.186107564717531204e-02 -1.149673262261785567e-04 1.771520823240280151e-03 -1.497398334322497249e-04 3.397489854251034558e-05 -1.853732615709304810e-01 -1.352529041469097137e-03 7.695734966546297073e-04 -6.740195658494485542e-06 -2.663600753294304013e-06 -6.740195658494485542e-06 8.491153948853025213e-07 6.188029999520949787e-08 -2.663600753294304013e-06 6.188029999520949787e-08 2.512054925318807364e-04 6.693039089441299438e-02 1.246428041667968500e-06 -2.597164420876652002e-04
-9.984896183013916016e-01 6.426828913390636444e-04 2.658321522176265717e-02 7.001970516284927726e-05 4.979342269897460938e+01 1.329172309488058090e-02 -1.420077169314026833e-04 1.987168798223137856e-03 -1.840790500864386559e-04 2.113627851940691471e-05 -1.833410263061523438e-01 -1.555522321723401546e-03 9.764251881279051304e-04 -9.731977115734480321e-06 -3.392829739823355339e-06 -9.731977115734480321e-06 1.308618152506824117e-06 8.811156959609434125e-08 -3.392829739823355339e-06 8.811156959609434125e-08 3.076319699175655842e-04 7.548091560602188110e-02 1.568832431075861678e-06 -2.913507632911205292e-04
